rank,conference,schls,w,l,w-l%,srs,sos,ap,ncaa,ff,regular_season_champ,tournament_champ,year
30,Atlantic Sun Conference,9,130,155,0.456,-7.85,-4.83,0,0,0,"Liberty, North Florida",Liberty,2020
31,Horizon League,10,153,171,0.472,-6.04,-3.7,0,0,0,Wright State,Northern Kentucky,2020
32,Southwest Athletic Conference,10,122,190,0.391,-14.97,-8.14,0,0,0,Prairie View,,2020
1,Big 12 Conference,10,165,116,0.587,11.74,8.94,1,7,1,Baylor,Texas,2021
2,Big Ten Conference,14,227,172,0.569,14.91,11.89,1,9,0,Michigan,Illinois,2021
3,Southeastern Conference,14,212,163,0.565,11.18,8.48,1,6,0,Alabama,Alabama,2021
4,West Coast Conference,10,134,96,0.583,5.24,5.06,1,2,1,Gonzaga,Gonzaga,2021
5,Pac-12 Conference,12,193,150,0.563,11.89,9.86,0,5,1,Oregon,Oregon State,2021
6,Atlantic 10 Conference,14,151,142,0.515,3.54,3.1,0,2,0,St. Bonaventure,St. Bonaventure,2021
7,Southland Conference,13,150,180,0.455,-10.87,-7.02,0,1,0,Nicholls State,Abilene Christian,2021
8,American Athletic Conference,11,141,107,0.569,6.77,5.54,0,2,1,Wichita State,Houston,2021
9,Conference USA,14,201,162,0.554,-0.76,-1.35,0,1,0,"Western Kentucky (East), Louisiana Tech (West)",North Texas,2021
10,Big East Conference,11,152,125,0.549,10.56,8.73,0,4,0,Villanova,Georgetown,2021
11,Big Sky Conference,11,129,125,0.508,-5.63,-3.91,0,1,0,Southern Utah,Eastern Washington,2021
12,Mid-American Conference,12,141,138,0.505,-3.22,-1.97,0,1,0,Toledo,Ohio,2021
13,Atlantic Coast Conference,15,201,164,0.551,10.17,8.22,0,7,0,Virginia,Georgia Tech,2021
14,Missouri Valley Conference,10,144,124,0.537,1.22,0.86,0,2,0,Loyola (IL),Loyola (IL),2021
15,Northeast Conference,10,96,109,0.468,-8.72,-7.37,0,1,0,Wagner,Mount St. Mary's,2021
16,Southern Conference,10,144,111,0.565,-1.02,-1.42,0,1,0,UNC Greensboro,UNC Greensboro,2021
17,Atlantic Sun Conference,9,111,107,0.509,-7.61,-5.59,0,1,0,Liberty,Liberty,2021
18,America East Conference,10,89,97,0.478,-6.51,-5.38,0,1,0,"Maryland-Baltimore County, Vermont",Hartford,2021
19,Colonial Athletic Association,10,92,95,0.492,-4.83,-3.54,0,1,0,"James Madison, Northeastern",Drexel,2021
20,Horizon League,12,137,147,0.482,-7.89,-6.45,0,1,0,"Cleveland State, Wright State",Cleveland State,2021
21,Western Athletic Conference,9,92,89,0.508,-8.08,-3.22,0,1,0,"Grand Canyon, Utah Valley",Grand Canyon,2021
22,Sun Belt Conference,12,169,143,0.542,-6.62,-5.73,0,1,0,"Georgia State (East), Texas State (West)",Appalachian State,2021
23,Patriot League,10,81,78,0.509,-2.86,-2.51,0,1,0,"Lafayette (Central), Colgate (North), Navy (South)",Colgate,2021
24,Ohio Valley Conference,12,162,162,0.5,-8.18,-6.79,0,1,0,Belmont,Morehead State,2021
25,Big South Conference,11,123,146,0.457,-8.72,-7.14,0,1,0,Winthrop,Winthrop,2021
26,Metro Atlantic Athletic Conference,11,110,116,0.487,-7.88,-7.43,0,1,0,"Monmouth, Siena",Iona,2021
27,Mid-Eastern Athletic Conference,9,69,97,0.416,-14.55,-7.62,0,1,0,"Coppin State (Northern), Norfolk State (Northern), North Carolina A&T (Southern)",Norfolk State,2021
28,Mountain West Conference,11,152,131,0.537,-0.05,0.68,0,2,0,San Diego State,San Diego State,2021
29,Big West Conference,11,122,116,0.513,-3.43,-2.1,0,1,0,UC Santa Barbara,UC Santa Barbara,2021
30,Summit League,9,97,125,0.437,-5.98,-2.98,0,1,0,South Dakota State,Oral Roberts,2021
31,Southwest Athletic Conference,10,87,122,0.416,-17.68,-12.11,0,1,0,Prairie View,Texas Southern,2021
32,Ivy League,8,0,0,,,,0,0,0,,,2021
1,Pac-12 Conference,12,222,178,0.555,9.49,7.35,1,3,0,Arizona,Arizona,2022
2,Big 12 Conference,10,217,126,0.633,15.54,9.75,1,6,1,"Baylor, Kansas",Kansas,2022
3,Big Ten Conference,14,271,193,0.584,11.92,8.6,1,9,0,"Illinois, Wisconsin",Iowa,2022
4,Southeastern Conference,14,283,196,0.591,12.34,8.45,0,6,0,Auburn,Tennessee,2022
5,Conference USA,14,250,214,0.539,-0.35,-0.62,0,1,0,"Middle Tennessee (East), North Texas (West)",UAB,2022
6,Atlantic 10 Conference,14,243,208,0.539,3.46,2.3,0,2,0,Davidson,Richmond,2022
7,West Coast Conference,10,183,141,0.565,5.14,3.26,0,3,0,Gonzaga,Gonzaga,2022
8,American Athletic Conference,11,194,151,0.562,7.32,4.95,0,2,0,Houston,Houston,2022
9,Southern Conference,10,177,148,0.545,-1.71,-1.51,0,1,0,Chattanooga,Chattanooga,2022
10,Missouri Valley Conference,10,170,153,0.526,2.66,1.53,0,1,0,Northern Iowa,Loyola (IL),2022
11,Big East Conference,11,218,148,0.596,11.22,8.16,0,6,1,Providence,Villanova,2022
12,Atlantic Coast Conference,15,290,224,0.564,9.04,6.78,0,5,2,Duke,Virginia Tech,2022
13,Western Athletic Conference,13,221,197,0.529,-2.58,-1.7,0,1,0,"New Mexico State, Seattle, Stephen F. Austin",New Mexico State,2022
14,Mid-American Conference,12,192,191,0.501,-5.01,-3.39,0,1,0,Toledo,Akron,2022
15,Colonial Athletic Association,10,166,156,0.516,-2.2,-1.33,0,1,0,"Towson, UNC Wilmington",Delaware,2022
16,Sun Belt Conference,12,198,169,0.54,-3.69,-2.41,0,1,0,Texas State,Georgia State,2022
17,Horizon League,12,176,205,0.462,-8.22,-5.83,0,1,0,"Cleveland State, Purdue-Fort Wayne",Wright State,2022
18,Ivy League,8,108,113,0.489,-4.3,-2.82,0,1,0,Princeton,Yale,2022
19,Atlantic Sun Conference,12,188,192,0.495,-5.9,-3.28,0,1,0,"Liberty (East), Jacksonville State (West)",Bellarmine,2022
20,Northeast Conference,10,128,169,0.431,-10.96,-7.54,0,1,0,Bryant,Bryant,2022
21,Big South Conference,12,179,194,0.48,-7.32,-4.58,0,1,0,"Longwood (North), Winthrop (South)",Longwood,2022
22,Big Sky Conference,11,179,181,0.497,-7.38,-5.05,0,1,0,Montana State,Montana State,2022
23,Mountain West Conference,11,204,153,0.571,5.83,4.18,0,4,0,Boise State,Boise State,2022
24,Metro Atlantic Athletic Conference,11,180,169,0.516,-3.28,-2.96,0,1,0,Iona,Saint Peter's,2022
25,America East Conference,10,148,158,0.484,-8.15,-6.26,0,1,0,Vermont,Vermont,2022
26,Ohio Valley Conference,10,154,165,0.483,-5.92,-3.92,0,1,0,Murray State,Murray State,2022
27,Summit League,10,158,158,0.5,-6.69,-4.83,0,1,0,South Dakota State,South Dakota State,2022
28,Big West Conference,11,155,158,0.495,-3.65,-2.45,0,1,0,Long Beach State,Cal State Fullerton,2022
29,Mid-Eastern Athletic Conference,8,106,131,0.447,-12.03,-7.67,0,1,0,Norfolk State,Norfolk State,2022
30,Southwest Athletic Conference,12,137,229,0.374,-12.03,-5.86,0,1,0,Alcorn State,Texas Southern,2022
31,Southland Conference,8,119,141,0.458,-10.58,-5.9,0,1,0,Nicholls State,Texas A&M-Corpus Christi,2022
32,Patriot League,10,146,174,0.456,-9.62,-7.19,0,1,0,Colgate,Colgate,2022
